SITE_ID,YEAR,tsi_crust,tsi_rot,LAT_DD83,LON_DD83,ELEVATION,COLOR,NTL,PTL,CHLA,secchi,ts_group,ts
NLA17_AR-HP001,2017,42.416529858827,52.32416124205997,34.2145297,-94.2146709,153.64,0,0.276,21.03125,7.08,1.9649999999999999,sdd_ts,eutro
NLA17_AR-HP001,2017,42.416529858827,52.32416124205997,34.2145297,-94.2146709,153.64,0,0.276,21.03125,7.08,1.9649999999999999,rot_ts,meso-eutro
NLA17_AR-HP001,2017,42.416529858827,52.32416124205997,34.2145297,-94.2146709,153.64,0,0.276,21.03125,7.08,1.9649999999999999,crs_ts,oligo-meso
NLA17_AZ-10001,2017,67.29741952689282,54.64639929824828,33.5693,-111.5241,459,12.5,0.6175,35.46125,17.490000000000002,2.05,ncp_ts,eutro
NLA17_AZ-10001,2017,67.29741952689282,54.64639929824828,33.5693,-111.5241,459,12.5,0.6175,35.46125,17.490000000000002,2.05,chla_ts,eutro
NLA17_AZ-10001,2017,67.29741952689282,54.64639929824828,33.5693,-111.5241,459,12.5,0.6175,35.46125,17.490000000000002,2.05,ptl_ts,eutro
NLA17_AZ-10001,2017,67.29741952689282,54.64639929824828,33.5693,-111.5241,459,12.5,0.6175,35.46125,17.490000000000002,2.05,sdd_ts,meso
NLA17_AZ-10001,2017,67.29741952689282,54.64639929824828,33.5693,-111.5241,459,12.5,0.6175,35.46125,17.490000000000002,2.05,rot_ts,meso-eutro
NLA17_AZ-10001,2017,67.29741952689282,54.64639929824828,33.5693,-111.5241,459,12.5,0.6175,35.46125,17.490000000000002,2.05,crs_ts,hypereu
NLA17_AZ-10002,2017,66.38665825488795,31.667907800307965,35.01973,-111.4032,2171,41,1.538,396.5525,121.09,0.95,ncp_ts,mixo
NLA17_AZ-10002,2017,66.38665825488795,31.667907800307965,35.01973,-111.4032,2171,41,1.538,396.5525,121.09,0.95,chla_ts,hypereu
NLA17_AZ-10002,2017,66.38665825488795,31.667907800307965,35.01973,-111.4032,2171,41,1.538,396.5525,121.09,0.95,ptl_ts,hypereu
NLA17_AZ-10002,2017,66.38665825488795,31.667907800307965,35.01973,-111.4032,2171,41,1.538,396.5525,121.09,0.95,sdd_ts,eutro
NLA17_AZ-10002,2017,66.38665825488795,31.667907800307965,35.01973,-111.4032,2171,41,1.538,396.5525,121.09,0.95,rot_ts,oligo-meso
NLA17_AZ-10002,2017,66.38665825488795,31.667907800307965,35.01973,-111.4032,2171,41,1.538,396.5525,121.09,0.95,crs_ts,hypereu
NLA17_AZ-10003,2017,62.89659659208385,51.050846742533594,33.39629762,-114.7199316,69,5,0.369,7.1725,1.28,3.75,ncp_ts,oligo
NLA17_AZ-10003,2017,62.89659659208385,51.050846742533594,33.39629762,-114.7199316,69,5,0.369,7.1725,1.28,3.75,chla_ts,oligo
NLA17_AZ-10003,2017,62.89659659208385,51.050846742533594,33.39629762,-114.7199316,69,5,0.369,7.1725,1.28,3.75,ptl_ts,oligo
NLA17_AZ-10003,2017,62.89659659208385,51.050846742533594,33.39629762,-114.7199316,69,5,0.369,7.1725,1.28,3.75,sdd_ts,meso
NLA17_AZ-10003,2017,62.89659659208385,51.050846742533594,33.39629762,-114.7199316,69,5,0.369,7.1725,1.28,3.75,rot_ts,meso-eutro
NLA17_AZ-10003,2017,62.89659659208385,51.050846742533594,33.39629762,-114.7199316,69,5,0.369,7.1725,1.28,3.75,crs_ts,eutro
NLA17_AZ-10004,2017,67.18368811181274,28.919665944446937,34.60431,-112.4386,1567,10,0.615,192.115,2.64,NA,ncp_ts,eutro
NLA17_AZ-10004,2017,67.18368811181274,28.919665944446937,34.60431,-112.4386,1567,10,0.615,192.115,2.64,NA,chla_ts,meso
NLA17_AZ-10004,2017,67.18368811181274,28.919665944446937,34.60431,-112.4386,1567,10,0.615,192.115,2.64,NA,ptl_ts,hypereu
NLA17_AZ-10004,2017,67.18368811181274,28.919665944446937,34.60431,-112.4386,1567,10,0.615,192.115,2.64,NA,sdd_ts,NA
NLA17_AZ-10004,2017,67.18368811181274,28.919665944446937,34.60431,-112.4386,1567,10,0.615,192.115,2.64,NA,rot_ts,oligo-meso
NLA17_AZ-10004,2017,67.18368811181274,28.919665944446937,34.60431,-112.4386,1567,10,0.615,192.115,2.64,NA,crs_ts,hypereu
NLA17_AZ-10005,2017,60.04148614986014,54.91747092556343,34.36068,-109.3631,1822,18,0.67,161.06,7.86,0.35,ncp_ts,eutro
NLA17_AZ-10005,2017,60.04148614986014,54.91747092556343,34.36068,-109.3631,1822,18,0.67,161.06,7.86,0.35,chla_ts,eutro
NLA17_AZ-10005,2017,60.04148614986014,54.91747092556343,34.36068,-109.3631,1822,18,0.67,161.06,7.86,0.35,ptl_ts,hypereu
NLA17_AZ-10005,2017,60.04148614986014,54.91747092556343,34.36068,-109.3631,1822,18,0.67,161.06,7.86,0.35,sdd_ts,hypereu
NLA17_AZ-10005,2017,60.04148614986014,54.91747092556343,34.36068,-109.3631,1822,18,0.67,161.06,7.86,0.35,rot_ts,meso-eutro
NLA17_AZ-10005,2017,60.04148614986014,54.91747092556343,34.36068,-109.3631,1822,18,0.67,161.06,7.86,0.35,crs_ts,eutro
NLA17_AZ-10006,2017,70.50113271592781,55.120778504133774,33.8306,-109.0851,2403,34,1.3704999999999998,445.26250000000005,31.439999999999998,1.65,ncp_ts,mixo
NLA17_AZ-10006,2017,70.50113271592781,55.120778504133774,33.8306,-109.0851,2403,34,1.3704999999999998,445.26250000000005,31.439999999999998,1.65,chla_ts,eutro
NLA17_AZ-10006,2017,70.50113271592781,55.120778504133774,33.8306,-109.0851,2403,34,1.3704999999999998,445.26250000000005,31.439999999999998,1.65,ptl_ts,hypereu
NLA17_AZ-10006,2017,70.50113271592781,55.120778504133774,33.8306,-109.0851,2403,34,1.3704999999999998,445.26250000000005,31.439999999999998,1.65,sdd_ts,eutro
NLA17_AZ-10006,2017,70.50113271592781,55.120778504133774,33.8306,-109.0851,2403,34,1.3704999999999998,445.26250000000005,31.439999999999998,1.65,rot_ts,eutro
NLA17_AZ-10006,2017,70.50113271592781,55.120778504133774,33.8306,-109.0851,2403,34,1.3704999999999998,445.26250000000005,31.439999999999998,1.65,crs_ts,hypereu
NLA17_AZ-10007,2017,61.59518261022458,50.330353242439486,35.28501,-112.1542,2072,36,4.625,518.85125,145.07,0.275,ncp_ts,mixo
NLA17_AZ-10007,2017,61.59518261022458,50.330353242439486,35.28501,-112.1542,2072,36,4.625,518.85125,145.07,0.275,chla_ts,hypereu
NLA17_AZ-10007,2017,61.59518261022458,50.330353242439486,35.28501,-112.1542,2072,36,4.625,518.85125,145.07,0.275,ptl_ts,hypereu
NLA17_AZ-10007,2017,61.59518261022458,50.330353242439486,35.28501,-112.1542,2072,36,4.625,518.85125,145.07,0.275,sdd_ts,hypereu
NLA17_AZ-10007,2017,61.59518261022458,50.330353242439486,35.28501,-112.1542,2072,36,4.625,518.85125,145.07,0.275,rot_ts,meso-eutro
NLA17_AZ-10007,2017,61.59518261022458,50.330353242439486,35.28501,-112.1542,2072,36,4.625,518.85125,145.07,0.275,crs_ts,eutro
NLA17_AZ-10012,2017,60.08239171987578,52.111765239021004,31.42463,-110.4522,1631,5,0.826,13.605,3.73,2.55,ncp_ts,oligo
NLA17_AZ-10012,2017,60.08239171987578,52.111765239021004,31.42463,-110.4522,1631,5,0.826,13.605,3.73,2.55,chla_ts,meso
NLA17_AZ-10012,2017,60.08239171987578,52.111765239021004,31.42463,-110.4522,1631,5,0.826,13.605,3.73,2.55,ptl_ts,meso
NLA17_AZ-10012,2017,60.08239171987578,52.111765239021004,31.42463,-110.4522,1631,5,0.826,13.605,3.73,2.55,sdd_ts,meso
NLA17_AZ-10012,2017,60.08239171987578,52.111765239021004,31.42463,-110.4522,1631,5,0.826,13.605,3.73,2.55,rot_ts,meso-eutro
NLA17_AZ-10012,2017,60.08239171987578,52.111765239021004,31.42463,-110.4522,1631,5,0.826,13.605,3.73,2.55,crs_ts,eutro
NLA17_AZ-10021,2017,66.17236264202464,35.65953071495201,34.51849,-112.3854,1686,10,0.251,12.9125,1.3,5.05,ncp_ts,oligo
NLA17_AZ-10021,2017,66.17236264202464,35.65953071495201,34.51849,-112.3854,1686,10,0.251,12.9125,1.3,5.05,chla_ts,oligo
NLA17_AZ-10021,2017,66.17236264202464,35.65953071495201,34.51849,-112.3854,1686,10,0.251,12.9125,1.3,5.05,ptl_ts,meso
NLA17_AZ-10021,2017,66.17236264202464,35.65953071495201,34.51849,-112.3854,1686,10,0.251,12.9125,1.3,5.05,sdd_ts,oligo
NLA17_AZ-10021,2017,66.17236264202464,35.65953071495201,34.51849,-112.3854,1686,10,0.251,12.9125,1.3,5.05,rot_ts,oligo-meso
NLA17_AZ-10021,2017,66.17236264202464,35.65953071495201,34.51849,-112.3854,1686,10,0.251,12.9125,1.3,5.05,crs_ts,hypereu
